故障类型,故障描述,故障位置,输入电压(V),发送端轨面电压(V),接收端轨面电压(V),主轨入电压(V),轨出1电压(V),发送端轨面电流(A),接收端轨面电流(A),主轨入电流(A),轨出1电流(A),频率(Hz),补偿电容(uF),变压器变比,变压器输入阻抗(Ω)
5,接收端调谐单元2断路,69G,100.0,1120233.324908608,343942339512.4044,5260937656869.458,5260937656869.458,32.26225729375214,9909701.390759164,8239922275.708973,8239922275.708973,1700,5.5e-05,12,36
5,接收端调谐单元2断路,69G,110.0,1232256.6573994688,378336573463.6449,5787031422556.404,5787031422556.404,35.48848302312735,10900671.52983508,9063914503.27987,9063914503.27987,1700,5.5e-05,12,36
5,接收端调谐单元2断路,69G,120.0,1344279.9898903298,412730807414.8853,6313125188243.351,6313125188243.351,38.714708752502574,11891641.668910997,9887906730.850767,9887906730.850767,1700,5.5e-05,12,36
5,接收端调谐单元2断路,69G,130.0,1456303.3223811905,447125041366.12573,6839218953930.296,6839218953930.296,41.94093448187778,12882611.807986915,10711898958.421665,10711898958.421665,1700,5.5e-05,12,36
5,接收端调谐单元2断路,69G,140.0,1568326.6548720514,481519275317.36615,7365312719617.241,7365312719617.241,45.167160211253,13873581.947062831,11535891185.992563,11535891185.992563,1700,5.5e-05,12,36
5,接收端调谐单元2断路,69G,150.0,1680349.9873629122,515913509268.6067,7891406485304.1875,7891406485304.1875,48.393385940628214,14864552.086138748,12359883413.563461,12359883413.563461,1700,5.5e-05,12,36
6,补偿电容3断路,69G,100.0,1120233.3259785986,989247.3817682931,106331734530582.36,106331734530582.36,32.26225732458806,28.489974182404683,166541642343.17142,166541642343.17142,1700,5.5e-05,12,36
6,补偿电容3断路,69G,110.0,1232256.6585764585,1088172.1199451224,116964907983640.58,116964907983640.58,35.488483057046864,31.33897160064515,183195806577.4886,183195806577.4886,1700,5.5e-05,12,36
6,补偿电容3断路,69G,120.0,1344279.9911743184,1187096.8581219518,127598081436698.83,127598081436698.83,38.71470878950567,34.18796901888561,199849970811.80573,199849970811.80573,1700,5.5e-05,12,36
6,补偿电容3断路,69G,130.0,1456303.3237721783,1286021.5962987808,138231254889757.06,138231254889757.06,41.940934521964486,37.03696643712609,216504135046.12283,216504135046.12283,1700,5.5e-05,12,36
6,补偿电容3断路,69G,140.0,1568326.656370038,1384946.3344756102,148864428342815.28,148864428342815.28,45.16716025442329,39.88596385536655,233158299280.44,233158299280.44,1700,5.5e-05,12,36
6,补偿电容3断路,69G,150.0,1680349.9889678978,1483871.0726524398,159497601795873.53,159497601795873.53,48.393385986882095,42.73496127360703,249812463514.75714,249812463514.75714,1700,5.5e-05,12,36
7,补偿电容3短路,69G,100.0,1120233.3259785986,14636078968178.701,223873278451389.44,223873278451389.44,32.26225732458806,421516406.31643003,350640603104.0836,350640603104.0836,1700,5.5e-05,12,36
7,补偿电容3短路,69G,110.0,1232256.6585764585,16099686864996.572,246260606296528.4,246260606296528.4,35.488483057046864,463668046.948073,385704663414.492,385704663414.492,1700,5.5e-05,12,36
7,补偿电容3短路,69G,120.0,1344279.9911743184,17563294761814.441,268647934141667.34,268647934141667.34,38.71470878950567,505819687.579716,420768723724.9003,420768723724.9003,1700,5.5e-05,12,36
7,补偿电容3短路,69G,130.0,1456303.3237721783,19026902658632.312,291035261986806.25,291035261986806.25,41.940934521964486,547971328.2113591,455832784035.3087,455832784035.3087,1700,5.5e-05,12,36
7,补偿电容3短路,69G,140.0,1568326.656370038,20490510555450.184,313422589831945.25,313422589831945.25,45.16716025442329,590122968.843002,490896844345.71704,490896844345.71704,1700,5.5e-05,12,36
7,补偿电容3短路,69G,150.0,1680349.9889678978,21954118452268.055,335809917677084.2,335809917677084.2,48.393385986882095,632274609.474645,525960904656.1254,525960904656.1254,1700,5.5e-05,12,36
